Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-28.7688,0.44141,0.460618,0.491584,0.388535,0.513279,0.460207,0.381672,0.49541,0.35821
-28.2688,0.445161,0.4806,0.495863,0.395241,0.518385,0.470239,0.387227,0.510571,0.382542
-27.7688,0.446886,0.496758,0.49795,0.399781,0.523091,0.47739,0.393782,0.523536,0.403544
-27.2688,0.448591,0.512993,0.498852,0.404411,0.527191,0.483832,0.402408,0.537621,0.427238
-26.7688,0.447265,0.52484,0.495426,0.407036,0.529303,0.485803,0.41155,0.548474,0.4481
-26.2688,0.442448,0.530141,0.487289,0.40813,0.528847,0.482596,0.419478,0.551976,0.462238
-25.7688,0.433919,0.530331,0.475192,0.407759,0.525183,0.475735,0.425519,0.54604,0.470426
-25.2688,0.422475,0.526164,0.460984,0.40541,0.517616,0.466398,0.428675,0.529629,0.473734
-24.7688,0.409532,0.516131,0.447749,0.400143,0.504647,0.455546,0.427754,0.503745,0.471698
-24.2688,0.396787,0.498824,0.437857,0.390401,0.486505,0.443549,0.421184,0.472761,0.462978
-23.7688,0.3852,0.475815,0.430732,0.376483,0.46633,0.431085,0.409025,0.442365,0.448988
-23.2688,0.373185,0.449249,0.42262,0.358447,0.44691,0.417353,0.393093,0.414946,0.430584
-22.7688,0.360028,0.421597,0.41061,0.337102,0.429313,0.400633,0.374704,0.38911,0.409183
-22.2688,0.344549,0.393731,0.393382,0.313173,0.411865,0.378831,0.354647,0.362115,0.386018
-21.7688,0.326447,0.365132,0.372288,0.287155,0.391008,0.351437,0.332471,0.332637,0.361129
-21.2688,0.307977,0.337662,0.350094,0.261547,0.365863,0.322308,0.308527,0.303159,0.335913
-20.7688,0.291524,0.314698,0.327736,0.238905,0.337935,0.296645,0.284501,0.277246,0.311537
-20.2688,0.279539,0.299186,0.305069,0.22174,0.310762,0.277801,0.262964,0.258305,0.289562
-19.7688,0.271433,0.290909,0.280583,0.210089,0.287603,0.264827,0.24538,0.245599,0.270652
-19.2688,0.265068,0.286921,0.25676,0.203711,0.270754,0.255479,0.232241,0.237124,0.256617
-18.7688,0.258896,0.282357,0.23904,0.201418,0.259881,0.247006,0.221885,0.230056,0.248449
-18.2688,0.252411,0.274779,0.229772,0.201665,0.254373,0.238674,0.213234,0.222526,0.24532
-17.7688,0.247475,0.264672,0.228276,0.204767,0.25285,0.233149,0.206535,0.215689,0.246116
-17.2688,0.24558,0.255826,0.231186,0.211047,0.254657,0.233096,0.203494,0.211007,0.249188
-16.7688,0.247067,0.253015,0.235021,0.22033,0.258809,0.240066,0.204448,0.209168,0.253281
-16.2688,0.250506,0.257942,0.24079,0.230938,0.262356,0.249751,0.208116,0.21095,0.257251
-15.7688,0.254137,0.267803,0.24814,0.239389,0.263964,0.256616,0.212925,0.215413,0.259162
-15.2688,0.257516,0.277053,0.255676,0.243669,0.263131,0.256532,0.216517,0.223654,0.258216
-14.7688,0.259274,0.280496,0.261223,0.243403,0.258951,0.24926,0.216239,0.23412,0.25362
