Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-30.7621,0.15613,0.203995,0.193144,0.133375,0.171292,0.177594,0.127766,0.131535,0.124544
-30.2621,0.159392,0.211503,0.201715,0.139154,0.17683,0.18308,0.135641,0.13821,0.129632
-29.7621,0.165168,0.216395,0.208025,0.144878,0.181792,0.189117,0.143416,0.14472,0.13495
-29.2621,0.169659,0.21147,0.205378,0.145254,0.178286,0.190891,0.150524,0.147724,0.140854
-28.7621,0.168666,0.19581,0.19178,0.137468,0.163392,0.182325,0.150026,0.142545,0.143477
-28.2621,0.163865,0.177771,0.174338,0.128157,0.145066,0.168538,0.142301,0.134599,0.144041
-27.7621,0.160954,0.166101,0.161383,0.123842,0.133403,0.157165,0.137011,0.130506,0.148212
-27.2621,0.15966,0.15943,0.152613,0.124163,0.129715,0.148191,0.135227,0.130027,0.156453
-26.7621,0.16178,0.156226,0.149742,0.128289,0.133059,0.142897,0.13796,0.133278,0.169175
-26.2621,0.166917,0.15397,0.15189,0.133982,0.141416,0.139701,0.143981,0.139228,0.18567
-25.7621,0.173105,0.152182,0.157811,0.13907,0.151596,0.138686,0.151243,0.146979,0.204579
-25.2621,0.179422,0.152603,0.167197,0.142414,0.160415,0.141582,0.159381,0.15551,0.225308
-24.7621,0.183914,0.158298,0.177108,0.142968,0.166186,0.148515,0.166523,0.161674,0.24525
-24.2621,0.18902,0.17277,0.185794,0.143456,0.172442,0.159069,0.173688,0.165855,0.265014
-23.7621,0.200547,0.197043,0.193063,0.149008,0.186501,0.170313,0.18392,0.173395,0.287085
-23.2621,0.223492,0.229316,0.203222,0.165061,0.214944,0.182301,0.201639,0.192014,0.315398
-22.7621,0.259251,0.266183,0.226883,0.194973,0.258496,0.201846,0.231172,0.226385,0.352126
-22.2621,0.305723,0.306923,0.270752,0.236474,0.313044,0.235705,0.273724,0.273769,0.396249
-21.7621,0.35775,0.349793,0.330197,0.282547,0.369853,0.28462,0.325944,0.326277,0.443707
-21.2621,0.408413,0.392367,0.391624,0.32602,0.422351,0.340559,0.380531,0.376771,0.490206
-20.7621,0.451732,0.432455,0.441292,0.361522,0.466846,0.391001,0.427925,0.419229,0.531945
-20.2621,0.485933,0.468158,0.477562,0.388979,0.504014,0.430488,0.463021,0.451157,0.568037
-19.7621,0.512845,0.500682,0.507671,0.410928,0.535842,0.461206,0.48691,0.473809,0.599373
-19.2621,0.535718,0.530708,0.535723,0.428556,0.562447,0.486566,0.503786,0.490422,0.626348
-18.7621,0.556171,0.556732,0.561213,0.442901,0.584357,0.508203,0.518109,0.504815,0.649325
-18.2621,0.57316,0.575777,0.580226,0.453285,0.601036,0.524106,0.530532,0.517718,0.666637
-17.7621,0.584682,0.58529,0.589379,0.458373,0.61179,0.531085,0.538666,0.526121,0.675409
-17.2621,0.585845,0.58243,0.586066,0.455292,0.611039,0.52705,0.5385,0.525281,0.671314
-16.7621,0.571392,0.564927,0.566694,0.44107,0.591954,0.5102,0.524609,0.511026,0.64931
-16.2621,0.537117,0.531025,0.528635,0.413557,0.550662,0.478669,0.492737,0.480874,0.605498
-15.7621,0.482569,0.48098,0.470322,0.37207,0.48901,0.431523,0.441379,0.434272,0.538394
-15.2621,0.415809,0.422986,0.395908,0.320692,0.417474,0.370281,0.376939,0.377577,0.454737
-14.7621,0.353103,0.373069,0.319177,0.269086,0.35172,0.303783,0.316276,0.325145,0.374472
-14.2621,0.307711,0.343558,0.254456,0.228905,0.304374,0.245037,0.274173,0.290296,0.320086
-13.7621,0.280964,0.332642,0.210092,0.204769,0.278215,0.205543,0.253358,0.275722,0.302823
-13.2621,0.266663,0.329134,0.189072,0.194989,0.266455,0.191483,0.246259,0.273,0.316444
-12.7621,0.262816,0.328492,0.194311,0.200861,0.267177,0.203429,0.248405,0.278192,0.345475
-12.2621,0.273933,0.335684,0.227157,0.223549,0.282984,0.239826,0.263675,0.294612,0.381051
-11.7621,0.305965,0.358996,0.28316,0.26549,0.318179,0.295751,0.297926,0.329908,0.422449
-11.2621,0.355359,0.399342,0.352012,0.323129,0.373396,0.363659,0.351182,0.386466,0.4705
-10.7621,0.410098,0.446593,0.418782,0.38423,0.435996,0.432235,0.412604,0.452163,0.520769
-10.2621,0.460088,0.491435,0.474718,0.439028,0.492349,0.489958,0.469904,0.512647,0.565163
-9.76212,0.499217,0.526495,0.51549,0.480365,0.533096,0.530416,0.513824,0.55683,0.597855
-9.26212,0.524529,0.546435,0.538276,0.504087,0.553477,0.551833,0.539089,0.579408,0.61665
-8.76212,0.535546,0.549171,0.544006,0.509313,0.555681,0.555329,0.54505,0.580966,0.62205
-8.26212,0.532094,0.536278,0.536477,0.498235,0.545843,0.54303,0.533809,0.564023,0.617202
-7.76212,0.516006,0.513612,0.521539,0.47676,0.529437,0.518828,0.510264,0.532965,0.608308
-7.26212,0.492556,0.490283,0.506266,0.453589,0.511814,0.49054,0.482125,0.495443,0.602569
-6.76212,0.47034,0.475429,0.498053,0.43669,0.497644,0.469616,0.460909,0.462134,0.60455
-6.26212,0.460074,0.473912,0.501655,0.429949,0.490778,0.465351,0.45607,0.44235,0.61405
-5.76212,0.46646,0.483443,0.513992,0.43124,0.492997,0.477547,0.466391,0.437556,0.626285
-5.26212,0.484694,0.496823,0.525971,0.434846,0.501013,0.49635,0.481595,0.441401,0.635239
-4.76212,0.503555,0.506307,0.530395,0.434875,0.506179,0.508721,0.490707,0.443436,0.636433
-4.26212,0.512498,0.506288,0.525931,0.427238,0.500964,0.50621,0.489819,0.437121,0.628344
-3.76212,0.507301,0.494538,0.516859,0.411763,0.483659,0.489434,0.480498,0.422969,0.612499
-3.26212,0.490268,0.473635,0.505549,0.391727,0.458848,0.465538,0.464451,0.404037,0.591757
-2.76212,0.466021,0.447302,0.489575,0.370993,0.432572,0.441468,0.442203,0.38317,0.568319
-2.26212,0.439779,0.420427,0.468717,0.353024,0.408373,0.421214,0.416152,0.364048,0.544543
-1.76212,0.417877,0.39762,0.448768,0.339369,0.389058,0.406214,0.391195,0.349598,0.523814
-1.26212,0.406142,0.382382,0.437932,0.33161,0.377721,0.395708,0.372955,0.342853,0.510331
-0.762117,0.40326,0.37544,0.437127,0.328907,0.375076,0.389294,0.363384,0.342685,0.504414
-0.262117,0.410613,0.381238,0.449579,0.333897,0.387125,0.39069,0.363531,0.350226,0.510441
0.237883,0.424211,0.39718,0.467625,0.343215,0.410356,0.400141,0.37258,0.362607,0.523909
0.737883,0.437286,0.415006,0.481458,0.350762,0.430706,0.412738,0.385027,0.375986,0.536207
1.23788,0.447106,0.426997,0.486866,0.353915,0.438048,0.420791,0.393523,0.387387,0.541438
1.73788,0.454058,0.431679,0.485355,0.354197,0.436225,0.423443,0.396666,0.394634,0.539597
2.23788,0.453608,0.425052,0.473855,0.349789,0.425671,0.41801,0.391287,0.390767,0.533318
2.73788,0.441881,0.404313,0.451538,0.336472,0.406606,0.402301,0.37369,0.371551,0.524279
3.23788,0.414299,0.371509,0.416411,0.311448,0.377787,0.373617,0.343006,0.336601,0.512425
3.73788,0.373254,0.333823,0.371489,0.276288,0.339402,0.334183,0.302254,0.294914,0.496602
4.23788,0.326615,0.297629,0.326168,0.239492,0.29708,0.292351,0.259113,0.25828,0.475692
4.73788,0.282511,0.267294,0.287641,0.209734,0.260699,0.25723,0.224101,0.231932,0.450087
