Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-20.2523,0.142082,0.160155,0.164308,0.142208,0.144723,0.168891,0.142663,0.11754,0.126843
-19.7523,0.138225,0.155933,0.157556,0.140381,0.139433,0.160388,0.139193,0.113609,0.135332
-19.2523,0.137703,0.153144,0.154168,0.138611,0.137315,0.155052,0.135546,0.111467,0.142746
-18.7523,0.136975,0.148187,0.15028,0.135076,0.134888,0.148098,0.130239,0.107954,0.14893
-18.2523,0.135368,0.140134,0.144386,0.129971,0.131481,0.139215,0.122918,0.102384,0.153551
-17.7523,0.13244,0.128396,0.13482,0.123252,0.126287,0.12929,0.11252,0.0950835,0.15576
-17.2523,0.128957,0.116402,0.123394,0.117826,0.11994,0.1228,0.100763,0.0890846,0.155416
-16.7523,0.128269,0.110672,0.115927,0.117214,0.116691,0.124561,0.0915991,0.088932,0.154827
-16.2523,0.134627,0.115635,0.118418,0.122876,0.121146,0.135212,0.0901776,0.0965758,0.156674
-15.7523,0.149547,0.130293,0.131411,0.1336,0.133929,0.150816,0.0984212,0.109003,0.161389
-15.2523,0.171204,0.150893,0.150071,0.147823,0.152565,0.166831,0.11512,0.122078,0.167838
-14.7523,0.195116,0.174148,0.168661,0.165318,0.173242,0.181788,0.13677,0.13397,0.175104
-14.2523,0.214502,0.19643,0.183071,0.184589,0.191637,0.194138,0.158333,0.144342,0.182457
-13.7523,0.22345,0.213158,0.19244,0.201208,0.20578,0.20244,0.17646,0.153226,0.18988
-13.2523,0.220802,0.219487,0.196605,0.209176,0.213927,0.203853,0.189094,0.159209,0.198197
-12.7523,0.21189,0.21477,0.196009,0.206858,0.216313,0.196295,0.195834,0.160923,0.208229
-12.2523,0.205198,0.205163,0.193196,0.198811,0.216488,0.185276,0.198901,0.160237,0.22088
-11.7523,0.207035,0.200303,0.192544,0.192735,0.219265,0.179412,0.201688,0.162104,0.236264
-11.2523,0.216483,0.205572,0.198092,0.193471,0.226837,0.183824,0.205605,0.170385,0.25339
-10.7523,0.227409,0.21954,0.209647,0.200293,0.237978,0.196543,0.211325,0.183954,0.270836
-10.2523,0.234477,0.23628,0.223709,0.209588,0.249774,0.20967,0.218618,0.198903,0.286876
-9.75233,0.236793,0.249305,0.235386,0.218028,0.258498,0.217462,0.226168,0.210302,0.300013
-9.25233,0.236198,0.254936,0.240987,0.223488,0.262041,0.219115,0.231526,0.215242,0.309013
-8.75233,0.234906,0.253911,0.240591,0.22536,0.260401,0.217272,0.231911,0.214315,0.313524
-8.25233,0.234448,0.249705,0.238007,0.223997,0.25555,0.216171,0.226855,0.209619,0.314026
-7.75233,0.236366,0.246136,0.237976,0.221195,0.251983,0.220234,0.219294,0.204343,0.311078
-7.25233,0.242459,0.244793,0.242407,0.219588,0.253314,0.229866,0.213649,0.201656,0.305279
-6.75233,0.25213,0.244262,0.249734,0.219565,0.25867,0.239621,0.210985,0.202514,0.297409
-6.25233,0.260844,0.243031,0.255683,0.219629,0.262024,0.242582,0.208995,0.205037,0.288214
-5.75233,0.262835,0.240137,0.257589,0.217031,0.257426,0.236584,0.206218,0.206946,0.278012
-5.25233,0.254274,0.235037,0.253815,0.208216,0.242849,0.22469,0.201465,0.205333,0.266367
-4.75233,0.236867,0.227156,0.243774,0.19378,0.222163,0.211578,0.19446,0.19973,0.252875
