Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-10.6204,0.130145,0.171762,0.200332,0.139278,0.175544,0.169459,0.0962775,0.186566,0.124988
-10.1204,0.133109,0.173208,0.190845,0.138078,0.177824,0.172839,0.0940165,0.185401,0.125783
-9.62041,0.13687,0.174365,0.183393,0.138398,0.182211,0.175539,0.0922176,0.182306,0.126228
-9.12041,0.142192,0.175627,0.174395,0.137768,0.185483,0.177561,0.0931133,0.17644,0.126544
-8.62041,0.14769,0.178764,0.168655,0.137008,0.186175,0.179371,0.0995409,0.170815,0.127267
-8.12041,0.152678,0.183161,0.17151,0.138016,0.184088,0.178883,0.110945,0.167582,0.126524
-7.62041,0.153293,0.18701,0.178677,0.13845,0.179652,0.179113,0.126244,0.165116,0.127192
-7.12041,0.149217,0.188782,0.191074,0.140253,0.178263,0.182836,0.135639,0.163983,0.127977
-6.62041,0.142408,0.18697,0.205718,0.140264,0.17781,0.186391,0.138916,0.164918,0.128507
-6.12041,0.138018,0.181174,0.218028,0.138348,0.174444,0.186992,0.140955,0.167242,0.130187
-5.62041,0.138839,0.173034,0.226353,0.137567,0.166825,0.185306,0.141613,0.169482,0.132166
-5.12041,0.14406,0.164481,0.223852,0.138832,0.154352,0.181989,0.14046,0.168188,0.134118
-4.62041,0.150634,0.158086,0.210843,0.141523,0.137151,0.178928,0.140125,0.162388,0.136028
-4.12041,0.154656,0.155235,0.192975,0.143449,0.119607,0.178567,0.141619,0.15708,0.137719
-3.62041,0.156028,0.155907,0.176549,0.142768,0.105653,0.179171,0.146265,0.156569,0.139909
-3.12041,0.157069,0.159433,0.16748,0.139725,0.0983429,0.178327,0.153037,0.160064,0.143469
-2.62041,0.159531,0.16369,0.166172,0.136781,0.0985268,0.175322,0.158234,0.164665,0.148046
-2.12041,0.164727,0.166773,0.171135,0.134749,0.10254,0.170849,0.161392,0.167338,0.153188
-1.62041,0.171746,0.165258,0.179345,0.13361,0.1083,0.166385,0.163693,0.167175,0.158562
-1.12041,0.178384,0.159816,0.186143,0.133999,0.115191,0.162917,0.165332,0.165875,0.162511
-0.620412,0.181922,0.153468,0.188822,0.135271,0.121919,0.160218,0.16636,0.16319,0.164499
-0.120412,0.181671,0.147877,0.186025,0.139763,0.13182,0.157223,0.167836,0.157924,0.166197
0.379588,0.177231,0.144698,0.178352,0.146237,0.142249,0.154041,0.169515,0.150938,0.167399
0.879588,0.170682,0.142002,0.168838,0.152149,0.151667,0.150972,0.170263,0.143623,0.168828
1.37959,0.165153,0.138751,0.159158,0.156868,0.160712,0.146405,0.168506,0.136329,0.169772
1.87959,0.15945,0.133345,0.147103,0.159453,0.170028,0.138092,0.16332,0.12708,0.169683
2.37959,0.156345,0.127281,0.136513,0.158163,0.17829,0.127205,0.155134,0.118985,0.168653
2.87959,0.156771,0.121071,0.129819,0.152867,0.183749,0.116237,0.146128,0.114617,0.166729
3.37959,0.160664,0.115062,0.126439,0.143457,0.183776,0.107557,0.137671,0.114353,0.164006
3.87959,0.166291,0.10975,0.12501,0.132096,0.177755,0.102772,0.130015,0.116004,0.160472
4.37959,0.16938,0.105608,0.122297,0.120609,0.166339,0.100705,0.12321,0.116122,0.156765
4.87959,0.166892,0.102671,0.11733,0.109952,0.153063,0.10177,0.117736,0.112572,0.153081
5.37959,0.159212,0.100142,0.111469,0.100918,0.141481,0.10603,0.114621,0.106212,0.149998
5.87959,0.149588,0.0977367,0.106681,0.093763,0.132913,0.11374,0.115393,0.098442,0.147362
6.37959,0.142333,0.0944402,0.10405,0.0889372,0.127632,0.123856,0.11948,0.0913,0.144895
6.87959,0.136025,0.0907018,0.103124,0.0865501,0.124048,0.131255,0.125124,0.0867973,0.142009
7.37959,0.128298,0.0876334,0.103146,0.0864546,0.122171,0.13459,0.130453,0.0861631,0.138896
7.87959,0.119946,0.0861533,0.103134,0.0874402,0.121998,0.135265,0.135282,0.0891351,0.13582
8.37959,0.114902,0.086934,0.103865,0.0891803,0.123218,0.135384,0.140747,0.0954891,0.133297
8.87959,0.118704,0.0903472,0.104379,0.0910587,0.123687,0.136499,0.147476,0.104765,0.131242
9.37959,0.132388,0.0977852,0.105444,0.093128,0.120793,0.137655,0.154692,0.116474,0.129505
9.87959,0.147773,0.10662,0.104936,0.0970527,0.113245,0.138308,0.160067,0.128631,0.127929
10.3796,0.154797,0.113848,0.103783,0.10353,0.103245,0.138987,0.162796,0.137689,0.126338
10.8796,0.153442,0.119046,0.104286,0.113753,0.0954575,0.141301,0.162905,0.141151,0.125324
11.3796,0.147467,0.122304,0.10589,0.123537,0.0940129,0.142899,0.159999,0.137243,0.123682
