Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-13.5243,0.183003,0.146347,0.156177,0.104223,0.121798,0.10544,0.117814,0.118066,0.124024
-13.0243,0.183076,0.149229,0.159739,0.101191,0.125948,0.10163,0.116465,0.115276,0.124928
-12.5243,0.182596,0.150473,0.163254,0.0982101,0.129511,0.0968584,0.114694,0.113662,0.126276
-12.0243,0.181935,0.150617,0.166648,0.096773,0.133246,0.0907061,0.111975,0.112726,0.127611
-11.5243,0.181132,0.146517,0.167102,0.0999491,0.137371,0.0871131,0.108563,0.114256,0.129257
-11.0243,0.179602,0.140058,0.163307,0.109641,0.142113,0.0912982,0.106523,0.117658,0.131253
-10.5243,0.176586,0.135645,0.159263,0.122076,0.147497,0.100767,0.107737,0.121972,0.133628
-10.0243,0.172793,0.135705,0.156749,0.132779,0.152986,0.112024,0.111391,0.125051,0.135933
-9.52426,0.169322,0.140153,0.156946,0.139464,0.15948,0.120668,0.115669,0.12715,0.138193
-9.02426,0.167153,0.147872,0.159639,0.140901,0.165053,0.126246,0.119205,0.12835,0.138894
-8.52426,0.167979,0.155914,0.162035,0.138591,0.168822,0.129534,0.119077,0.129315,0.139479
-8.02426,0.170038,0.16288,0.163925,0.134972,0.172268,0.133721,0.117982,0.130943,0.139271
-7.52426,0.171598,0.168717,0.163059,0.131194,0.173723,0.139751,0.117552,0.134116,0.138449
-7.02426,0.170198,0.173874,0.158787,0.128368,0.176067,0.146149,0.119951,0.140278,0.139061
-6.52426,0.164152,0.179306,0.152653,0.124994,0.182118,0.150801,0.12546,0.150102,0.139549
-6.02426,0.156017,0.183876,0.14557,0.120602,0.189252,0.148841,0.129938,0.160877,0.140286
-5.52426,0.149349,0.189185,0.141427,0.116977,0.193277,0.144499,0.13382,0.168391,0.141733
-5.02426,0.148092,0.195872,0.141294,0.114424,0.192379,0.143906,0.13705,0.172713,0.144585
-4.52426,0.154949,0.202921,0.145681,0.114061,0.191385,0.151442,0.141569,0.173016,0.149671
-4.02426,0.168689,0.208215,0.154531,0.116043,0.19486,0.164999,0.149616,0.170681,0.155952
-3.52426,0.185529,0.210349,0.165067,0.118849,0.200562,0.178271,0.160901,0.167158,0.162221
-3.02426,0.200954,0.210502,0.175395,0.123666,0.202778,0.186348,0.174309,0.165441,0.168188
-2.52426,0.21138,0.210543,0.183852,0.131011,0.200035,0.188279,0.186526,0.168947,0.173489
-2.02426,0.21664,0.212434,0.190043,0.14016,0.196664,0.186357,0.194816,0.178955,0.178171
-1.52426,0.219383,0.215126,0.194522,0.148977,0.198548,0.180025,0.198656,0.192325,0.181482
-1.02426,0.220884,0.21687,0.196649,0.153973,0.20503,0.170964,0.198507,0.201689,0.182675
-0.524263,0.222636,0.217645,0.19671,0.15483,0.211369,0.160442,0.196693,0.203513,0.182728
-0.0242627,0.224503,0.218234,0.194494,0.15205,0.215571,0.151958,0.195446,0.19859,0.182659
0.475737,0.221633,0.219959,0.191474,0.147149,0.216099,0.153369,0.194687,0.193715,0.1822
0.975737,0.214581,0.223073,0.191242,0.142461,0.215699,0.16163,0.193599,0.194824,0.181537
1.47574,0.204212,0.225384,0.192132,0.137381,0.214634,0.16994,0.191314,0.198622,0.179439
1.97574,0.193699,0.22512,0.190726,0.131854,0.21273,0.175744,0.188128,0.200113,0.175761
2.47574,0.187677,0.220914,0.185591,0.126864,0.210009,0.176269,0.184867,0.195643,0.171547
2.97574,0.186151,0.212366,0.177059,0.123076,0.205025,0.1726,0.180551,0.185225,0.167293
3.47574,0.186224,0.201031,0.169399,0.122023,0.197299,0.165009,0.173894,0.172871,0.163267
3.97574,0.186609,0.188708,0.166741,0.124182,0.187426,0.153224,0.166389,0.16385,0.15947
4.47574,0.188955,0.176938,0.16881,0.128894,0.177898,0.140252,0.161117,0.161378,0.156009
4.97574,0.192261,0.168157,0.172171,0.133182,0.169198,0.129314,0.158795,0.164574,0.152883
5.47574,0.195743,0.163814,0.172189,0.134224,0.160377,0.121728,0.156994,0.170067,0.150062
5.97574,0.196271,0.163963,0.167964,0.131515,0.149515,0.116412,0.15375,0.173329,0.147579
6.47574,0.193192,0.166548,0.161237,0.126199,0.136247,0.112373,0.148313,0.170667,0.14545
6.97574,0.189113,0.168219,0.155161,0.119976,0.124645,0.11116,0.141605,0.161578,0.143249
7.47574,0.184323,0.167647,0.151927,0.114067,0.118812,0.114575,0.136251,0.148763,0.141104
7.97574,0.179622,0.16545,0.150036,0.109183,0.121081,0.121938,0.134825,0.136898,0.138856
8.47574,0.175443,0.163454,0.147187,0.106252,0.127858,0.129434,0.139051,0.131437,0.13686
8.97574,0.171641,0.162755,0.142867,0.105373,0.133832,0.134059,0.147005,0.133216,0.135131
9.47574,0.168685,0.163474,0.139068,0.106019,0.135781,0.135704,0.153712,0.138648,0.13372
9.97574,0.1669,0.164772,0.138075,0.106661,0.133991,0.136002,0.156356,0.142748,0.132769
10.4757,0.166483,0.165203,0.139554,0.105851,0.131501,0.136021,0.156347,0.143286,0.131691
10.9757,0.168081,0.164522,0.141721,0.103825,0.127727,0.13583,0.155575,0.141356,0.130792
11.4757,0.168111,0.161326,0.141446,0.100493,0.1217,0.133528,0.153111,0.136578,0.129184
11.9757,0.16415,0.154364,0.136677,0.0974179,0.111649,0.128981,0.146724,0.129838,0.126875
12.4757,0.155219,0.145505,0.13016,0.0952448,0.0975398,0.122116,0.138749,0.121923,0.124695
