Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-14.4637,-nan,-nan,0.143332,0.156989,0.210013,0.171922,0.196559,0.304516,0.213758
-13.9637,-nan,-nan,0.149204,0.154653,0.184744,0.163788,0.200509,0.258669,0.220727
-13.4637,-nan,-nan,0.1587,0.153254,0.182013,0.157626,0.204866,0.221428,0.232375
-12.9637,-nan,-nan,0.168495,0.151472,0.189374,0.153366,0.206315,0.192085,0.248841
-12.4637,0.165966,-nan,0.181949,0.148414,0.202089,0.150062,0.203637,0.161776,0.274533
-11.9637,0.177407,-nan,0.192458,0.142881,0.216701,0.150108,0.191552,0.152523,0.301415
-11.4637,0.181864,-nan,0.197831,0.13468,0.21283,0.152367,0.171397,0.151229,0.32009
-10.9637,0.178758,-nan,0.198505,0.124919,0.193033,0.154965,0.148184,0.145162,0.325782
-10.4637,0.170771,0.206985,0.192224,0.116738,0.168991,0.156262,0.126828,0.13471,0.317075
-9.96372,0.161368,0.165104,0.178718,0.110914,0.148186,0.154528,0.110598,0.123765,0.296886
-9.46372,0.152349,0.128662,0.161185,0.105851,0.133123,0.145979,0.0996721,0.113493,0.273718
-8.96372,0.143335,0.103307,0.144167,0.0979934,0.120515,0.129996,0.0916278,0.102596,0.253615
-8.46372,0.135009,0.0883459,0.130423,0.0864193,0.108613,0.112599,0.0836527,0.091472,0.241216
-7.96372,0.128489,0.0801684,0.120482,0.0739761,0.0962609,0.101596,0.076085,0.0821878,0.237563
-7.46372,0.123962,0.0753843,0.113602,0.0648041,0.0842311,0.100692,0.0711138,0.077243,0.243124
-6.96372,0.119735,0.0737381,0.108496,0.0616777,0.0751509,0.107424,0.0700512,0.0761748,0.257261
-6.46372,0.116479,0.07483,0.103838,0.0646175,0.0729748,0.114784,0.070011,0.0758202,0.278373
-5.96372,0.115261,0.0780134,0.099536,0.0713237,0.0777461,0.116896,0.0696298,0.0739607,0.302997
-5.46372,0.11459,0.0830008,0.0959414,0.0795484,0.0854705,0.11306,0.0706875,0.072481,0.327044
-4.96372,0.111285,0.0894047,0.0941986,0.0869996,0.0937731,0.106441,0.0749997,0.0750473,0.348254
-4.46372,0.102878,0.0959287,0.0956969,0.0921053,0.100595,0.100093,0.0851575,0.0840572,0.365397
-3.96372,0.0946289,0.101726,0.10059,0.096086,0.105615,0.0970715,0.0996569,0.099063,0.379083
-3.46372,0.0967496,0.108134,0.110157,0.100679,0.110982,0.100065,0.115738,0.11815,0.387579
-2.96372,0.112622,0.117881,0.12473,0.10721,0.118053,0.110025,0.131877,0.140244,0.390791
-2.46372,0.138048,0.134865,0.144452,0.117865,0.130959,0.126837,0.148925,0.162289,0.388446
-1.96372,0.164722,0.158939,0.167486,0.13391,0.153068,0.14674,0.167571,0.178999,0.382259
-1.46372,0.187085,0.187741,0.191183,0.154271,0.182343,0.166554,0.187179,0.187241,0.375878
-0.963721,0.20286,0.213115,0.210703,0.17302,0.208474,0.181959,0.203495,0.188749,0.371381
-0.463721,0.218266,0.239543,0.229474,0.191405,0.233434,0.196033,0.217658,0.187952,0.369326
0.0362786,0.242514,0.272437,0.253969,0.21095,0.2613,0.216564,0.23572,0.195144,0.372247
0.536279,0.270179,0.301251,0.278779,0.228378,0.286789,0.241792,0.257279,0.214838,0.377506
1.03628,0.290233,0.320367,0.298485,0.242453,0.306731,0.265236,0.275821,0.236139,0.380842
1.53628,0.3068,0.336943,0.318189,0.257195,0.325364,0.289231,0.293534,0.257709,0.380769
2.03628,0.319835,0.351639,0.337354,0.272108,0.340637,0.311616,0.308775,0.277235,0.376175
2.53628,0.328226,0.362537,0.352398,0.283383,0.347279,0.325475,0.318369,0.287237,0.366627
3.03628,0.335443,0.37026,0.362049,0.290339,0.347295,0.331639,0.323721,0.28945,0.353182
3.53628,0.341425,0.372881,0.367331,0.294334,0.344916,0.334289,0.327505,0.285802,0.337859
4.03628,0.345379,0.370856,0.3703,0.296336,0.341475,0.336315,0.331386,0.278148,0.321911
4.53628,0.347718,0.365251,0.371136,0.296642,0.335537,0.336284,0.334396,0.270271,0.307094
5.03628,0.348851,0.357181,0.368407,0.29465,0.32465,0.33297,0.33445,0.265152,0.294601
5.53628,0.347112,0.347517,0.35975,0.28872,0.309681,0.323522,0.329539,0.266004,0.283933
6.03628,0.33914,0.330294,0.34277,0.277661,0.291229,0.306999,0.318453,0.271236,0.275007
6.53628,0.322773,0.304151,0.317118,0.260963,0.26987,0.286317,0.301555,0.276771,0.266515
7.03628,0.299675,0.270874,0.285455,0.239106,0.24555,0.263358,0.279834,0.278515,0.257301
7.53628,0.274715,0.236309,0.253261,0.215583,0.220813,0.241631,0.2557,0.273953,0.246563
8.03628,0.249704,0.205645,0.226098,0.193776,0.19956,0.223021,0.231227,0.264399,0.233608
8.53628,0.226162,0.181181,0.207834,0.175645,0.18416,0.20861,0.207954,0.252751,0.218966
