Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-10.9135,0.155388,0.146941,0.139488,0.120876,0.14926,0.134443,0.149657,0.131943,0.134433
-10.4135,0.162475,0.159931,0.150379,0.12994,0.150579,0.147652,0.159979,0.141839,0.146507
-9.91353,0.165089,0.168566,0.160847,0.137199,0.152262,0.160683,0.168005,0.149502,0.158864
-9.41353,0.165391,0.17445,0.172281,0.143477,0.15492,0.173894,0.174075,0.156077,0.171159
-8.91353,0.168151,0.1777,0.186247,0.149337,0.159309,0.186577,0.179246,0.162137,0.185375
-8.41353,0.173965,0.178052,0.199348,0.152482,0.166911,0.195133,0.181884,0.167217,0.200511
-7.91353,0.183378,0.178993,0.205505,0.152764,0.177162,0.198198,0.183208,0.171624,0.216424
-7.41353,0.193652,0.183847,0.201832,0.151797,0.186325,0.197704,0.184433,0.175223,0.233289
-6.91353,0.198522,0.190525,0.18973,0.150087,0.190181,0.194735,0.183689,0.176488,0.249142
-6.41353,0.197353,0.192165,0.174924,0.147046,0.185329,0.187839,0.177841,0.17321,0.260878
-5.91353,0.191851,0.185283,0.163327,0.140851,0.174078,0.175219,0.166644,0.165319,0.265881
-5.41353,0.184223,0.173408,0.158209,0.133097,0.162591,0.162765,0.155887,0.155988,0.266016
-4.91353,0.179153,0.165339,0.160444,0.128267,0.156124,0.16,0.152244,0.149695,0.264381
-4.41353,0.182713,0.165944,0.168704,0.131234,0.155415,0.170876,0.158423,0.149288,0.262927
-3.91353,0.199515,0.172531,0.179582,0.141407,0.156753,0.190075,0.171145,0.153559,0.26288
-3.41353,0.224803,0.178054,0.188371,0.152176,0.156092,0.205776,0.185513,0.158988,0.263927
-2.91353,0.240928,0.174492,0.190757,0.154509,0.151351,0.207574,0.195514,0.160831,0.265893
-2.41353,0.230974,0.15984,0.185601,0.144675,0.145382,0.193584,0.195089,0.157585,0.268984
-1.91353,0.202725,0.147617,0.18001,0.133421,0.14825,0.175936,0.185244,0.155174,0.27309
-1.41353,0.186851,0.156834,0.18849,0.137033,0.170034,0.173362,0.17847,0.162975,0.277977
-0.913531,0.194707,0.186134,0.21298,0.157706,0.206084,0.189322,0.181191,0.181287,0.282493
-0.413531,0.248185,0.254296,0.277081,0.213722,0.277266,0.242331,0.208577,0.226059,0.288061
0.086469,0.338435,0.35013,0.379531,0.302133,0.383368,0.3313,0.264695,0.30471,0.294077
0.586469,0.413324,0.427716,0.467192,0.381812,0.479347,0.409966,0.321787,0.383427,0.299641
1.08647,0.45175,0.465314,0.510237,0.423644,0.534101,0.448512,0.361846,0.434274,0.305087
1.58647,0.470247,0.48358,0.530219,0.443514,0.566123,0.464337,0.397538,0.4635,0.312064
2.08647,0.462117,0.476088,0.523292,0.435856,0.56315,0.455252,0.424157,0.459513,0.321227
2.58647,0.43153,0.446953,0.492078,0.404057,0.526541,0.429144,0.440195,0.423715,0.3304
3.08647,0.389831,0.401415,0.444089,0.359397,0.468127,0.394593,0.447464,0.368561,0.338803
3.58647,0.347747,0.346943,0.386296,0.30986,0.400646,0.354448,0.437315,0.310552,0.344548
4.08647,0.310782,0.291984,0.326979,0.261628,0.335908,0.309614,0.401092,0.258031,0.345834
4.58647,0.280869,0.244251,0.277441,0.221924,0.280379,0.266589,0.348064,0.219324,0.341675
5.08647,0.25662,0.21056,0.242146,0.193429,0.236913,0.229983,0.286371,0.196027,0.330791
5.58647,0.23695,0.190342,0.219392,0.1745,0.20627,0.201848,-nan,0.186431,0.313273
6.08647,0.221204,0.178487,0.201639,0.160336,0.189774,0.18086,-nan,0.185735,0.289194
6.58647,0.209018,0.170047,0.182917,0.148161,0.189216,0.165839,-nan,0.190985,0.259967
7.08647,0.200416,0.163904,0.162907,0.137511,0.206245,0.155106,-nan,0.201096,0.227166
7.58647,0.196353,0.16397,0.1511,0.12935,0.236415,0.14731,-nan,0.216785,0.193899
8.08647,0.197023,0.172555,0.152923,0.123178,0.266329,0.140921,-nan,0.233023,0.165167
8.58647,0.198361,0.185066,0.162011,0.119122,0.284226,0.135845,-nan,0.242231,0.146828
9.08647,0.196539,0.195226,0.173157,0.114636,0.285042,0.129973,-nan,0.240537,0.136309
9.58647,0.186491,0.19533,0.176482,0.108828,0.265476,0.120541,0.174662,0.218244,0.134248
10.0865,0.165296,0.174022,0.159064,0.102933,0.226721,0.106855,0.166033,0.172524,0.14275
10.5865,0.160162,0.147044,0.134261,0.0982334,0.198554,0.0976608,0.164581,0.141863,0.152344
11.0865,0.171502,0.132625,0.115925,0.0957334,0.181749,-nan,0.174135,0.129415,0.155841
11.5865,0.185732,0.12207,0.101444,0.0933361,0.165922,-nan,0.187834,0.12402,0.156749
12.0865,0.199688,0.110261,-nan,0.0901408,0.149287,-nan,-nan,0.121024,0.154698
12.5865,0.205711,0.0956183,-nan,0.0862184,0.1364,-nan,-nan,0.119853,0.145765
13.0865,0.202882,0.0762392,-nan,0.0801771,0.130541,-nan,-nan,0.126229,0.137658
