Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-23.6997,0.000700115,0.000764968,0.000724854,0.000905951,0.00075502,0.000756354,0.000768189,0.000854234,0.000679967
-23.1997,0.000700872,0.000764606,0.000733741,0.000903571,0.000750575,0.000766835,0.000776508,0.000856836,0.000679875
-22.6997,0.000694395,0.000767946,0.000735337,0.000899218,0.000749071,0.000769444,0.000780048,0.000852049,0.000673791
-22.1997,0.000689129,0.000771496,0.000741438,0.000900733,0.000753215,0.00076903,0.000776558,0.000848671,0.000668249
-21.6997,0.000682917,0.000770712,0.00074137,0.000899784,0.000753804,0.000764836,0.000771803,0.000844786,0.000663686
-21.1997,0.000678049,0.000766288,0.000739721,0.000895959,0.000751945,0.000761091,0.000766767,0.000840458,0.000658946
-20.6997,0.000675125,0.000759767,0.000735139,0.000890794,0.000748627,0.000757347,0.000761487,0.000834784,0.00065554
-20.1997,0.000672415,0.000752497,0.00072582,0.000884462,0.000742861,0.000753338,0.000755279,0.000826739,0.000650161
-19.6997,0.000671246,0.000747187,0.000714547,0.000878406,0.000736633,0.000750749,0.000748897,0.000818178,0.000641242
-19.1997,0.000671653,0.000744509,0.000704142,0.000874627,0.000731651,0.000750137,0.000744788,0.000811898,0.00063104
-18.6997,0.00067176,0.000742002,0.000696133,0.000873148,0.000727638,0.000750776,0.000743757,0.000808072,0.00062083
-18.1997,0.000670163,0.000737179,0.000690415,0.000872878,0.000723276,0.000750859,0.000744997,0.000805529,0.000612698
-17.6997,0.000665181,0.000728222,0.000685139,0.000871535,0.00071623,0.000748615,0.000746229,0.000800905,0.000605712
-17.1997,0.000656601,0.000715933,0.000678414,0.000866771,0.000705457,0.000743562,0.000744859,0.00079203,0.000596867
-16.6997,0.000644972,0.000701944,0.000668845,0.000856981,0.000690856,0.000735281,0.00073894,0.000778673,0.000583913
-16.1997,0.000630505,0.000687561,0.000656173,0.000842117,0.000673413,0.000723407,0.00072824,0.000762423,0.000566821
-15.6997,0.000613532,0.000673143,0.00064057,0.000824187,0.000654008,0.000707282,0.000713824,0.000745119,0.000546641
-15.1997,0.000595036,0.000658033,0.000622966,0.000805131,0.000632987,0.000687071,0.000697408,0.000727781,0.00052438
-14.6997,0.000577559,0.000641726,0.000605258,0.000787425,0.000612286,0.000665332,0.000681198,0.000711854,0.000501789
-14.1997,0.000563122,0.000624406,0.000588688,0.000772224,0.000593784,0.000644658,0.000666279,0.000697944,0.000480521
-13.6997,0.000551796,0.000607112,0.000573508,0.000758941,0.000578108,0.000626533,0.00065234,0.000685992,0.000461895
-13.1997,0.000543015,0.000591775,0.000560641,0.000746852,0.000565347,0.000611965,0.000639078,0.000675937,0.000447198
-12.6997,0.000535937,0.000579771,0.000550338,0.000735684,0.000554856,0.000600763,0.000627063,0.000667741,0.000436707
-12.1997,0.000531462,0.000572531,0.000543443,0.000727439,0.000547091,0.000593645,0.000617928,0.000662165,0.000431042
-11.6997,0.000531013,0.000571419,0.000541134,0.000724992,0.000544139,0.000591549,0.000613724,0.000660464,0.000431031
-11.1997,0.000536169,0.000577512,0.000544675,0.000730872,0.000549033,0.000595152,0.000616791,0.000663891,0.000437851
-10.6997,0.000548844,0.000592343,0.000556304,0.000746298,0.000564733,0.000606134,0.000629397,0.000674185,0.000452919
-10.1997,0.000570192,0.000616624,0.00057752,0.000770718,0.000592303,0.00062571,0.000653399,0.000693313,0.000476155
-9.69968,0.00060016,0.000649616,0.000607834,0.00080167,0.000628051,0.000653539,0.000687874,0.000722203,0.000504817
-9.19968,0.0006348,0.00068776,0.000644093,0.000835236,0.000665145,0.00068652,0.000727237,0.000758869,0.000533765
-8.69968,0.000663541,0.000720932,0.000676808,0.000865132,0.000696438,0.000716919,0.0007607,0.000794165,0.000554717
-8.19968,0.000677572,0.000741059,0.000695423,0.000885799,0.00071872,0.000737109,0.000778897,0.000818768,0.000562551
-7.69968,0.000677552,0.000746355,0.000696784,0.000897027,0.000732118,0.000745038,0.000781469,0.000831132,0.000559317
-7.19968,0.000672766,0.000741593,0.000686653,0.000902762,0.000737398,0.000745791,0.000777306,0.000836313,0.000554279
-6.69968,0.000673554,0.000735679,0.000678396,0.000907071,0.00073702,0.000748556,0.0007773,0.000842765,0.000558302
-6.19968,0.000683052,0.000733804,0.000682961,0.000911138,0.000734576,0.000758639,0.000786898,0.000853893,0.000575657
-5.69968,0.000698696,0.000738567,0.000701222,0.000914713,0.000736112,0.000774156,0.000805427,0.000868176,0.000601757
-5.19968,0.000717377,0.000751648,0.000726487,0.000918511,0.000744825,0.000789461,0.000830108,0.000884067,0.000629118
-4.69968,0.000735758,0.000771701,0.000749296,0.000924873,0.00075798,0.000799031,0.000857577,0.000899524,0.000652099
-4.19968,0.000748224,0.000793054,0.000761748,0.000932736,0.00076849,0.000800818,0.000882527,0.000910163,0.000667548
-3.69968,0.000747021,0.000804457,0.000760208,0.000936038,0.000769352,0.000795323,0.000894042,0.000910057,0.000675137
-3.19968,0.000728667,0.000795427,0.000746737,0.000927957,0.000757457,0.000781577,0.000882847,0.000895475,0.00067441
-2.69968,0.000697913,0.0007647,0.000727941,0.000907433,0.000734566,0.000757879,0.000851228,0.00087046,0.00066852
-2.19968,0.000667816,0.000727818,0.000715068,0.000885107,0.000709573,0.000727514,0.000815173,0.000847282,0.000666301
-1.69968,0.000654423,0.000715239,0.000724572,0.000881184,0.000698695,0.000707096,0.000806929,0.000842177,0.000679746
-1.19968,0.000668807,0.00075128,0.000772148,0.000918119,0.000724574,0.00072027,0.000850766,0.000867698,0.000716673
-0.69968,0.000712733,0.000840825,0.000861029,0.00100519,0.000803508,0.000779268,0.000953901,0.000922737,0.000771147
-0.19968,0.000771325,0.000944452,0.00096357,0.00111314,0.000906364,0.000869086,0.00107539,0.000987938,0.000818717
0.30032,0.000825778,0.00102232,0.00104641,0.00119661,0.000994362,0.000950595,0.00116557,0.00103462,0.000838583
0.80032,0.000854678,0.00103795,0.00107458,0.00120928,0.00102435,0.000983081,0.00117981,0.00104019,0.000819215
1.30032,0.000845248,0.000982901,0.00103671,0.00114372,0.000980577,0.00095447,0.00110956,0.00100029,0.000770207
1.80032,0.000802533,0.00089021,0.000951987,0.00103562,0.000895352,0.000884711,0.000996055,0.000933557,0.000718196
2.30032,0.000746799,0.000801348,0.000852533,0.000937835,0.000809109,0.000814835,0.000888817,0.000870664,0.000680876
2.80032,0.00069916,0.000746247,0.000767283,0.000876932,0.000748266,0.000766991,0.000816492,0.000827161,0.000664822
3.30032,0.000671537,0.000731491,0.000711847,0.00085232,0.000721813,0.000745584,0.000785852,0.000808116,0.000664515
3.80032,0.000663297,0.000740782,0.000686151,0.00085038,0.000719535,0.000742436,0.000783474,0.000804374,0.00066973
4.30032,0.000667995,0.000754799,0.000682991,0.000855164,0.000727841,0.000748483,0.000793861,0.000808986,0.000673272
4.80032,0.000675665,0.000761506,0.000688498,0.000862068,0.000735237,0.000757819,0.000806133,0.000814388,0.000670722
5.30032,0.000679308,0.00075823,0.000691989,0.000865865,0.000734089,0.000762477,0.00080828,0.000815254,0.000659789
5.80032,0.000674712,0.000746044,0.000686739,0.000864599,0.000722457,0.000755804,0.00079666,0.000808336,0.000638186
6.30032,0.000662377,0.000728669,0.00067119,0.000858306,0.000704201,0.000737806,0.000775195,0.000793935,0.000608993
6.80032,0.00064868,0.000714825,0.000654218,0.000851907,0.000688232,0.000717027,0.00075448,0.000779715,0.000580269
7.30032,0.000640783,0.000711164,0.000647176,0.000850834,0.000681318,0.000704208,0.000744797,0.000774048,0.00056228
7.80032,0.000640446,0.000718207,0.000653094,0.000854594,0.000684003,0.00070304,0.000745947,0.000778845,0.00055929
8.30032,0.000645298,0.000729486,0.000666661,0.000859553,0.000690407,0.000708546,0.000750149,0.000789024,0.000564723
8.80032,0.000650038,0.000736518,0.000677977,0.000861794,0.000694236,0.000712973,0.000749586,0.000796684,0.000567013
9.30032,0.000650579,0.000734531,0.000679765,0.00085829,0.000692349,0.000711422,0.000741,0.000796327,0.000557828
9.80032,0.000645111,0.000724027,0.000671257,0.000849017,0.000684115,0.000704013,0.000726075,0.000787074,0.000536806
10.3003,0.000633916,0.000710071,0.000656738,0.000836399,0.00067216,0.000693925,0.000709806,0.000773043,0.000510447
10.8003,0.000620488,0.000696911,0.000642197,0.000823876,0.000660393,0.000684612,0.000696833,0.000759538,0.000486451
11.3003,0.00060845,0.000686772,0.000631757,0.000814525,0.000652536,0.000678316,0.000688922,0.000750052,0.000469099
11.8003,0.000601039,0.000680641,0.000626979,0.000810318,0.000650628,0.00067599,0.000686162,0.000745574,0.000459435
12.3003,0.000599555,0.000678853,0.000627302,0.000811704,0.000654279,0.000677585,0.000687847,0.000745495,0.000456802
12.8003,0.000602983,0.000681327,0.000631129,0.000817473,0.000661485,0.000682407,0.000693088,0.000748889,0.000459791
13.3003,0.000609727,0.000687766,0.000637418,0.000825721,0.000670291,0.000689683,0.000700999,0.000755413,0.000467133
13.8003,0.000618453,0.000698009,0.000646796,0.000835039,0.000680332,0.000698928,0.000711068,0.000764984,0.000478351
14.3003,0.000628636,0.000711279,0.000660081,0.000845474,0.000692256,0.00071031,0.000723058,0.000777229,0.000493341
14.8003,0.000639807,0.000726116,0.0006762,0.000858086,0.000706505,0.000723933,0.00073664,0.000791242,0.000511805
15.3003,0.000651666,0.000741029,0.000692684,0.00087288,0.000722365,0.000738612,0.000750964,0.000805639,0.000532943
15.8003,0.000663297,0.000754039,0.000707167,0.000888306,0.000737027,0.000751729,0.000764095,0.000818855,0.000554608
16.3003,0.000674003,0.000763775,0.000719003,0.000901371,0.000747873,0.000760874,0.000774186,0.000829617,0.000574913
16.8003,0.00068313,0.000769088,0.000728588,0.000908994,0.000754022,0.000765612,0.000780012,0.00083728,0.000592756
17.3003,0.000689655,0.000769422,0.000735193,0.000910094,0.000755729,0.000767768,0.000781506,0.000841188,0.00060759
17.8003,0.000693552,0.000766595,0.000737674,0.000906522,0.00075486,0.000770012,0.00077981,0.000841498,0.000619285
18.3003,0.000695955,0.000764657,0.000737556,0.000903437,0.000754041,0.000774765,0.000777245,0.00084105,0.000628147
18.8003,0.000700061,0.0007692,0.000739544,0.000907152,0.000756368,0.000783821,0.000777263,0.000844556,0.000635868
19.3003,0.000709239,0.000783247,0.000749076,0.00092053,0.000764437,0.000797714,0.00078235,0.000855872,0.000644963
19.8003,0.000721609,0.000801387,0.000764904,0.000937771,0.000776012,0.000813254,0.000790374,0.000871217,0.000654925
20.3003,0.000736195,0.000820527,0.000785692,0.000954984,0.00079016,0.000829587,0.000800359,0.000887385,0.000665645
20.8003,0.00075104,0.000837959,0.00080911,0.000968411,0.000805051,0.000845297,0.000809944,0.00090128,0.000676006
21.3003,0.00076428,0.000851605,0.000832074,0.000976594,0.000819007,0.000859781,0.000817697,0.00091092,0.000684624
21.8003,0.000779283,0.000868359,0.000858184,0.000986587,0.000835719,0.000876894,0.000827579,0.000922416,0.000693634
22.3003,0.000797043,0.000889833,0.000888966,0.000998941,0.000854741,0.000895191,0.000838979,0.000937521,0.000704062
22.8003,0.000808639,0.00090157,0.000909305,0.00100393,0.00086479,0.000906604,0.000846786,0.000946068,0.000712772
