Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-31.8123,0.000685162,0.00066118,0.000626107,0.000852601,0.000655065,0.000636179,0.000728558,0.000741103,0.000688336
-31.3123,0.00068314,0.000664859,0.000631392,0.00085294,0.000654604,0.000640641,0.000734096,0.000743545,0.000692334
-30.8123,0.000682011,0.000667035,0.000635108,0.000852943,0.000651956,0.000644041,0.000736715,0.000745763,0.000695541
-30.3123,0.000680719,0.000669787,0.000638375,0.000852362,0.000649864,0.000648227,0.000737746,0.000749583,0.000698641
-29.8123,0.00068034,0.000674195,0.000641621,0.000852601,0.000650328,0.000653436,0.000739349,0.000756385,0.000703836
-29.3123,0.000679206,0.000679311,0.000643766,0.000853087,0.000653067,0.000658293,0.000741225,0.00076552,0.000710005
-28.8123,0.000676932,0.000684703,0.000645309,0.000853652,0.00065827,0.000662837,0.000743825,0.000776249,0.000716903
-28.3123,0.000673867,0.000690125,0.000646938,0.000854102,0.000665201,0.000667488,0.000747539,0.000787018,0.000724104
-27.8123,0.00067035,0.000695432,0.000649134,0.000853906,0.000672954,0.000672948,0.000752027,0.000796395,0.000731167
-27.3123,0.000667323,0.000700758,0.000652398,0.000853181,0.000681129,0.000679372,0.000757113,0.000803675,0.000737761
-26.8123,0.000665581,0.000705861,0.000656641,0.000851648,0.000688958,0.000686412,0.000762289,0.00080865,0.000743428
-26.3123,0.000666153,0.000710713,0.000661693,0.000849425,0.000696089,0.000693356,0.000767331,0.000812138,0.000748245
-25.8123,0.000669356,0.000714561,0.000667035,0.000846649,0.000702134,0.000699453,0.000771696,0.000814837,0.00075134
-25.3123,0.000675649,0.000716903,0.00067199,0.000843479,0.000706656,0.000704258,0.000774881,0.000817457,0.000752203
-24.8123,0.000684359,0.000718285,0.000676274,0.000840577,0.00071023,0.00070773,0.000776709,0.00082087,0.000750514
-24.3123,0.000694292,0.000719338,0.000679509,0.000838365,0.000713542,0.000710113,0.000777103,0.000825229,0.00074608
-23.8123,0.000704159,0.000720882,0.000681857,0.00083753,0.000717016,0.000711931,0.000776451,0.000830431,0.000739608
-23.3123,0.000712358,0.000723279,0.000683801,0.000838393,0.000720472,0.000713414,0.000775164,0.000835993,0.000731739
-22.8123,0.000718144,0.000726253,0.000685412,0.000840682,0.000722985,0.000714453,0.000773626,0.00084129,0.000723317
-22.3123,0.000721523,0.000729384,0.000687421,0.000843667,0.000723932,0.000714942,0.000772401,0.000846044,0.000714904
-21.8123,0.000722918,0.000732293,0.000690078,0.000846507,0.000723162,0.000714418,0.000772011,0.000850215,0.000706702
-21.3123,0.000723186,0.000734683,0.000693616,0.000848778,0.000721394,0.000713113,0.000773246,0.000853949,0.000698976
-20.8123,0.000723038,0.000736567,0.000698311,0.000850751,0.000719701,0.000711835,0.000776698,0.000857919,0.000691686
-20.3123,0.00072277,0.000738552,0.000703721,0.00085301,0.000719209,0.000711668,0.000782048,0.000862847,0.000685247
-19.8123,0.000722247,0.000741608,0.000709061,0.00085616,0.000720962,0.000713442,0.000788652,0.000869421,0.000680165
-19.3123,0.00072066,0.000746576,0.000712832,0.000860309,0.000725401,0.000717319,0.000795281,0.000877866,0.000677029
-18.8123,0.000717246,0.000753995,0.000713358,0.000864904,0.000732565,0.00072265,0.000800833,0.000887231,0.000676335
-18.3123,0.000712268,0.000763007,0.00070993,0.000868351,0.000742052,0.000727524,0.000805503,0.000895522,0.000678784
-17.8123,0.000706197,0.000769987,0.000702528,0.000868012,0.000751597,0.000727983,0.000808186,0.000899632,0.000684591
-17.3123,0.000697411,0.00077026,0.000692966,0.000862656,0.000756641,0.000722267,0.000805411,0.000898241,0.000690024
-16.8123,0.000686882,0.000764676,0.00068582,0.000854595,0.000755882,0.000714349,0.000797008,0.00089308,0.000692903
-16.3123,0.000678352,0.000757892,0.000684906,0.000848028,0.000751887,0.000709476,0.000786934,0.000886892,0.000692538
-15.8123,0.000676218,0.000756104,0.000691894,0.000846549,0.000749155,0.000710674,0.000780793,0.000881571,0.000690625
