Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-30.2452,0.000908371,0.00095314,0.000957352,0.000927702,0.00092187,0.00102205,0.000287637,0.00105903,0.000704142
-29.7452,0.000838133,0.000874897,0.000925283,0.000854443,0.000714873,0.00092026,0.00037521,0.00100544,0.000635653
-29.2452,0.000771287,0.000802825,0.000839665,0.000745753,0.00065154,0.00080918,0.000493387,0.000932248,0.00059282
-28.7452,0.000715077,0.000744152,0.000757223,0.000655667,0.000671977,0.000710509,0.000594989,0.000881826,0.00058068
-28.2452,0.000688141,0.000724673,0.000714491,0.000603459,0.000699058,0.000672478,0.000673876,0.000857577,0.000593467
-27.7452,0.0006697,0.000724972,0.000692019,0.000577977,0.000736659,0.000666879,0.000736216,0.000849655,0.000615565
-27.2452,0.000669778,0.000743517,0.000704087,0.000590784,0.000765593,0.00069706,0.000768604,0.000857098,0.000642375
-26.7452,0.000679623,0.000771002,0.000732865,0.000617381,0.000773468,0.000743978,0.000780931,0.000869167,0.000662132
-26.2452,0.000688883,0.00079093,0.000756769,0.000643837,0.000779261,0.000775261,0.000786633,0.000879495,0.000670309
-25.7452,0.000701886,0.000807042,0.000775048,0.000689509,0.000791356,0.00079487,0.000796933,0.000889089,0.000674528
-25.2452,0.00071312,0.000821062,0.000785029,0.000760164,0.000810304,0.000804337,0.000812533,0.000900704,0.00067583
-24.7452,0.000722677,0.000832682,0.000793075,0.000846372,0.000829434,0.000811081,0.0008252,0.000910222,0.000673443
-24.2452,0.000725419,0.000838768,0.000794914,0.000918113,0.000838283,0.000814085,0.000827114,0.000912642,0.000665112
-23.7452,0.000717222,0.000835659,0.00078619,0.000949815,0.000832339,0.000810218,0.000817278,0.000905582,0.000649907
-23.2452,0.000697109,0.00081964,0.000765563,0.000946423,0.000811914,0.000797623,0.000797384,0.000888446,0.00062793
-22.7452,0.000666625,0.000788912,0.000733671,0.000925305,0.000778527,0.000775645,0.000769869,0.000860396,0.000599226
-22.2452,0.000631572,0.000747214,0.000695394,0.000894639,0.000736942,0.000746834,0.000738037,0.000823466,0.00056664
-21.7452,0.000598319,0.000702413,0.000656907,0.000861345,0.000693985,0.000715774,0.000705461,0.000782507,0.000533787
-21.2452,0.000571636,0.000663054,0.000622684,0.000830428,0.000656214,0.000685931,0.000675556,0.000743628,0.000504366
-20.7452,0.000553121,0.000634026,0.000595707,0.00080394,0.000628256,0.000659124,0.000651218,0.00071215,0.000481194
-20.2452,0.0005426,0.000616193,0.00057646,0.000783275,0.000611725,0.00063616,0.000634678,0.000690913,0.000465856
-19.7452,0.000538331,0.0006075,0.000564018,0.000768937,0.000605616,0.000617188,0.000626221,0.00067939,0.000458749
-19.2452,0.0005385,0.000605849,0.000556625,0.000760465,0.000607075,0.000602847,0.000624511,0.000675541,0.000459045
-18.7452,0.000540728,0.000610236,0.000553063,0.000756518,0.000611765,0.000593682,0.000626608,0.000676639,0.000465378
-18.2452,0.000541858,0.000618618,0.000551875,0.000754542,0.000614078,0.0005895,0.000628901,0.0006791,0.00047526
-17.7452,0.000538992,0.000627279,0.000551025,0.000752619,0.000609266,0.000589004,0.000628569,0.000680035,0.000484754
-17.2452,0.000530857,0.00063265,0.000549509,0.000750367,0.000597416,0.000591549,0.000625015,0.000678092,0.000490918
