Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-21.4606,0.000741733,0.000853574,0.000803176,0.000948426,0.00079914,0.000791662,0.000865617,0.000891241,0.000731959
-20.9606,0.000758964,0.00086991,0.000804388,0.000967533,0.000802573,0.000790159,0.000879266,0.000904884,0.000742921
-20.4606,0.000766025,0.000874352,0.000804015,0.000974474,0.000804753,0.000785712,0.000885598,0.000910317,0.000741529
-19.9606,0.000767474,0.000874104,0.000804819,0.000974989,0.000807138,0.000783624,0.000886696,0.000910504,0.000734676
-19.4606,0.000768386,0.000873012,0.0008074,0.000971762,0.000811129,0.000785668,0.000886316,0.00090993,0.000725174
-18.9606,0.000768619,0.000871551,0.000810204,0.000966603,0.000817232,0.000791209,0.000886859,0.000909515,0.000713135
-18.4606,0.000768281,0.000869307,0.000812546,0.000960009,0.000825561,0.000800753,0.000888683,0.000909385,0.000698088
-17.9606,0.000766553,0.000865739,0.000813192,0.000953836,0.000835245,0.000813025,0.000892403,0.000909462,0.000681861
-17.4606,0.000762462,0.000860553,0.000810976,0.000950916,0.000843649,0.000824202,0.000897063,0.00090855,0.000667297
-16.9606,0.000757336,0.00085283,0.000807783,0.000951446,0.000848718,0.000832746,0.000900076,0.000906717,0.000655001
-16.4606,0.000753177,0.000843388,0.000805596,0.000954435,0.000848171,0.000838743,0.000899653,0.000905652,0.000644728
-15.9606,0.000752888,0.000834574,0.000804636,0.000957666,0.000841353,0.000842209,0.000894953,0.000906231,0.000636193
-15.4606,0.000756849,0.000826873,0.000803589,0.00095989,0.000830619,0.000842819,0.000886736,0.0009086,0.000628689
-14.9606,0.000762488,0.000822602,0.000801116,0.000961176,0.00082115,0.000839191,0.000878013,0.000911932,0.00062124
-14.4606,0.000763977,0.000823511,0.00079721,0.000962345,0.000817443,0.000831756,0.000873122,0.000914645,0.000613694
-13.9606,0.00075681,0.000828195,0.000794511,0.000964172,0.000819444,0.000822669,0.000873438,0.000915418,0.000606537
-13.4606,0.000743193,0.000833858,0.000795492,0.000965995,0.000823899,0.000813689,0.00087769,0.000913759,0.000600436
-12.9606,0.000731265,0.000836672,0.000800237,0.000966713,0.00082654,0.000805807,0.000882128,0.000911107,0.000596749
-12.4606,0.000729136,0.000834825,0.000805892,0.000964761,0.000824228,0.000798652,0.000882874,0.000909308,0.000595712
-11.9606,0.000735771,0.000829726,0.0008075,0.000958573,0.000814777,0.000792094,0.000878601,0.000908685,0.000596507
-11.4606,0.000743553,0.000822787,0.000802553,0.000947109,0.00079878,0.000786612,0.000868758,0.00090711,0.000597317
-10.9606,0.000742083,0.000813869,0.000793477,0.000931319,0.000780785,0.000782361,0.00085614,0.000901673,0.000596245
