Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-10.6204,0.000761488,0.000872737,0.000790811,0.000947218,0.000842339,0.000816033,0.000898854,0.000893059,0.000743089
-10.1204,0.000770573,0.000872014,0.000803528,0.000945398,0.000837032,0.000813432,0.000899797,0.000892716,0.000742371
-9.62041,0.000781966,0.000870673,0.000817437,0.000943075,0.000830572,0.000809676,0.000899213,0.00089209,0.000742014
-9.12041,0.000798732,0.000868066,0.000836803,0.000939868,0.00081991,0.000804375,0.00089546,0.000891157,0.000742183
-8.62041,0.000816091,0.000865401,0.000853736,0.000936613,0.000808569,0.000799463,0.000886466,0.000890255,0.000743032
-8.12041,0.000828717,0.000864127,0.000861504,0.000931334,0.000798481,0.000797117,0.000875277,0.000888685,0.000744833
-7.62041,0.000831192,0.00086536,0.000858567,0.000924768,0.000791401,0.000797017,0.000867463,0.000884977,0.000746418
-7.12041,0.000822336,0.000870572,0.000846047,0.000919187,0.000787793,0.000798761,0.000868368,0.000878309,0.000746578
-6.62041,0.000806762,0.000878513,0.000828846,0.000917613,0.000786136,0.000801793,0.000875038,0.000872167,0.000745648
-6.12041,0.000789205,0.000886488,0.00080852,0.000920743,0.000787234,0.000805496,0.00088264,0.00087033,0.000743594
-5.62041,0.000772471,0.000891947,0.000790213,0.000926854,0.000791848,0.00080859,0.000891283,0.000874342,0.000740459
-5.12041,0.000760422,0.000891797,0.000783305,0.000933378,0.000799372,0.000809995,0.000901893,0.000882558,0.00073686
-4.62041,0.000754116,0.000885347,0.000791493,0.000938038,0.000807543,0.000810849,0.000911938,0.000890128,0.000733412
-4.12041,0.00075232,0.000874398,0.000810073,0.000940622,0.000812185,0.000812699,0.000917774,0.000892082,0.000730723
-3.62041,0.000753137,0.000861679,0.000829612,0.000942439,0.000812032,0.000814746,0.00091673,0.000886577,0.000728875
-3.12041,0.000755347,0.000850338,0.000841013,0.000944655,0.000809447,0.000814936,0.000908728,0.00087671,0.000727493
-2.62041,0.000757978,0.000842036,0.000839984,0.000947483,0.000806846,0.000812158,0.000897508,0.000866648,0.000726179
-2.12041,0.000759128,0.000836629,0.000827376,0.000949969,0.000805505,0.000809281,0.000886173,0.000859589,0.000724653
-1.62041,0.000757668,0.000831999,0.000808139,0.000949889,0.000804472,0.000810005,0.000875077,0.000857004,0.000723174
-1.12041,0.000753248,0.000827353,0.00079001,0.000945525,0.000801826,0.000814595,0.000865412,0.000858604,0.000722288
-0.620412,0.000748077,0.000822595,0.000779036,0.0009377,0.000797354,0.000820383,0.000858627,0.000863508,0.000722159
-0.120412,0.000742811,0.000817482,0.0007772,0.000925008,0.000792972,0.000822998,0.000854155,0.000874881,0.000722296
0.379588,0.000740627,0.000814714,0.000782127,0.000912401,0.000789316,0.000819729,0.000853777,0.000889976,0.000722344
0.879588,0.000741739,0.000816146,0.000788098,0.000903694,0.000786522,0.000814801,0.000857098,0.00090407,0.000721787
1.37959,0.00074372,0.000822113,0.000792424,0.000899054,0.000782829,0.000813592,0.000862984,0.000912532,0.000720911
1.87959,0.000744894,0.000832632,0.000795839,0.000897315,0.000775253,0.000817134,0.000871143,0.000916176,0.000720013
2.37959,0.000742585,0.000844841,0.000797611,0.000899649,0.000765178,0.000824824,0.000879834,0.000914008,0.000719366
2.87959,0.000736508,0.000854379,0.00079814,0.0009054,0.000755488,0.000833102,0.000887293,0.000908908,0.000719306
3.37959,0.000728138,0.000858539,0.000797306,0.000913813,0.000750846,0.000839704,0.000892379,0.000904493,0.000719833
3.87959,0.000720445,0.000857555,0.000794884,0.000923239,0.000755227,0.000845238,0.000893765,0.000902244,0.000720646
4.37959,0.000716446,0.000854609,0.00079231,0.000932458,0.000768462,0.000850276,0.000889667,0.000902935,0.000721307
4.87959,0.000717032,0.000853949,0.000792487,0.000940543,0.000785918,0.000852059,0.000879432,0.000905854,0.000721905
5.37959,0.000721164,0.000856818,0.000796828,0.000946829,0.000801689,0.000846661,0.000863335,0.000910672,0.000722756
5.87959,0.000727767,0.000860725,0.000803686,0.000951117,0.000812407,0.000832781,0.00084284,0.000917432,0.000724553
6.37959,0.000735965,0.000863307,0.000810453,0.000952929,0.000817402,0.000813943,0.000821877,0.00092442,0.000727445
6.87959,0.000746573,0.000863683,0.000815348,0.000952363,0.00081918,0.000798197,0.000805204,0.000930057,0.000731736
7.37959,0.000758724,0.000864568,0.000821923,0.000949604,0.000821,0.000790674,0.000795999,0.000932659,0.00073672
7.87959,0.000770553,0.00086896,0.000833244,0.000944905,0.000824777,0.000789145,0.000793324,0.000931297,0.000742215
8.37959,0.000780008,0.000875492,0.000846876,0.00093893,0.000831207,0.000788457,0.000794474,0.000925843,0.000748109
8.87959,0.000784431,0.000881652,0.000859486,0.000932908,0.000839574,0.000784744,0.000796466,0.000916398,0.000754361
9.37959,0.000783343,0.000883181,0.000861471,0.000929455,0.000848291,0.000779157,0.000798916,0.000904127,0.000760672
9.87959,0.000777817,0.000878814,0.000855839,0.000929343,0.000855706,0.000774775,0.000804059,0.000891356,0.000766521
10.3796,0.000771204,0.000872238,0.000851197,0.000930052,0.000861734,0.000772324,0.000810916,0.000882178,0.000771321
10.8796,0.000768116,0.000867807,0.00084977,0.000925425,0.000864166,0.00077008,0.000818302,0.000879901,0.000774858
11.3796,0.000771196,0.000865591,0.000849973,0.000917244,0.000861526,0.00077111,0.000825983,0.000886738,0.000779392
