Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-13.5243,0.000744371,0.000845453,0.00080604,0.000953452,0.000851204,0.000841719,0.000819879,0.000936046,0.000731158
-13.0243,0.000751206,0.000843466,0.000800641,0.000957713,0.000850538,0.000845374,0.000820957,0.000939851,0.000729674
-12.5243,0.000757387,0.000840853,0.000795679,0.000961682,0.000850676,0.00085061,0.000823289,0.000941767,0.000727846
-12.0243,0.000763358,0.000837189,0.000790717,0.000965342,0.000850291,0.000857452,0.000828086,0.000942656,0.000725415
-11.5243,0.000766612,0.000833541,0.000789099,0.000965469,0.00084888,0.000864142,0.000835764,0.000941135,0.000722127
-11.0243,0.000765584,0.000832176,0.000793284,0.000960882,0.000844898,0.000865746,0.000843533,0.000938873,0.000718804
-10.5243,0.000762457,0.00083368,0.000801889,0.000954833,0.000837595,0.000862575,0.000848842,0.000938652,0.00071543
-10.0243,0.000758863,0.000837456,0.000812071,0.000949608,0.000827716,0.000857915,0.000850728,0.000941505,0.000712337
-9.52426,0.000755435,0.000843663,0.000821684,0.000946363,0.000817436,0.00085386,0.000849923,0.000946934,0.000709353
-9.02426,0.000752434,0.000851991,0.000828628,0.000944288,0.000810414,0.000851856,0.000848648,0.000951701,0.000707353
-8.52426,0.000750149,0.000859744,0.000831655,0.000941803,0.000809357,0.00085032,0.000850406,0.000953054,0.000706155
-8.02426,0.000749453,0.000863233,0.000831171,0.000938112,0.000813158,0.000847325,0.000855218,0.000948844,0.000705418
-7.52426,0.000750737,0.000858972,0.000827811,0.000932757,0.000815994,0.000842175,0.00086066,0.000939675,0.000705644
-7.02426,0.000753333,0.000846375,0.000824424,0.000927013,0.000811993,0.00083722,0.000862806,0.000927869,0.000705397
-6.52426,0.000755324,0.000831197,0.000824653,0.000923134,0.000799382,0.000836238,0.000860427,0.000916343,0.000704073
-6.02426,0.00075467,0.000820012,0.000829176,0.000922835,0.000782697,0.000838778,0.00085818,0.000908412,0.00070192
-5.52426,0.000750493,0.000814342,0.000835762,0.00092492,0.000768896,0.000840404,0.000859146,0.00090412,0.000699133
-5.02426,0.000742594,0.0008115,0.000840414,0.000926852,0.000759601,0.000837111,0.000861944,0.00090125,0.00069618
-4.52426,0.000734717,0.000810617,0.000840585,0.000927967,0.000752998,0.000828131,0.000862852,0.000898589,0.000693123
-4.02426,0.000729674,0.000813475,0.000836947,0.000927895,0.000748588,0.000817006,0.000859152,0.000895576,0.000689759
-3.52426,0.000727409,0.000819309,0.000832548,0.000924888,0.000748744,0.000807919,0.000851606,0.000890804,0.000686353
-3.02426,0.000726052,0.000825749,0.00082996,0.000917842,0.000755148,0.000802914,0.000843857,0.000883278,0.000683172
-2.52426,0.000723362,0.000830014,0.000829139,0.000907569,0.000767738,0.000803165,0.00083919,0.000872576,0.000680648
-2.02426,0.00072067,0.000829811,0.000828183,0.000897658,0.000782187,0.000808937,0.000839193,0.000858639,0.000679031
-1.52426,0.000719774,0.000827045,0.000826742,0.000892466,0.000791402,0.000819598,0.000842637,0.000845768,0.000678394
-1.02426,0.000721513,0.000825138,0.000826171,0.000892998,0.000793437,0.000831198,0.000846165,0.000839149,0.000678686
-0.524263,0.000725359,0.000824891,0.000828802,0.000896541,0.000790436,0.000840551,0.000847857,0.000840551,0.000679343
-0.0242627,0.000732285,0.00082557,0.000835869,0.000900443,0.000785649,0.000844607,0.000847198,0.000851264,0.000679894
0.475737,0.00074214,0.000822905,0.00083917,0.000903465,0.000783117,0.000841776,0.000845783,0.000863395,0.00068051
0.975737,0.000750133,0.000815481,0.000834109,0.000905921,0.000782591,0.000834637,0.00084555,0.000869195,0.000681223
1.47574,0.000752917,0.000805818,0.000823522,0.00090947,0.000781003,0.000824172,0.000845548,0.000870501,0.000682625
1.97574,0.00074737,0.000797059,0.000811017,0.000913454,0.000777102,0.000810658,0.000844048,0.000871001,0.000684743
2.47574,0.000734677,0.000793852,0.000802729,0.000915093,0.000772208,0.000796119,0.000840688,0.000873412,0.000686997
2.97574,0.000721417,0.000796041,0.000800354,0.00091177,0.00076851,0.000784011,0.000836108,0.000878453,0.000689083
3.47574,0.000713358,0.000800632,0.000800819,0.000903313,0.000767004,0.000778245,0.000831794,0.000883444,0.000690918
3.97574,0.00071275,0.000803603,0.000800141,0.000893085,0.000767236,0.000780259,0.000828744,0.00088537,0.000692645
4.47574,0.000717577,0.000802803,0.00079667,0.000885789,0.000767896,0.000788741,0.000826362,0.000883126,0.000694394
4.97574,0.000724895,0.000799257,0.000791906,0.000885238,0.000768783,0.000799289,0.000823993,0.000877641,0.000696208
5.47574,0.000731367,0.000795311,0.000788912,0.000891087,0.000770383,0.000806879,0.000821146,0.000871685,0.000698096
5.97574,0.000734343,0.000791953,0.000789485,0.000899086,0.000772137,0.000809816,0.000818156,0.000867896,0.000700091
6.47574,0.000732173,0.000788976,0.000792015,0.000904333,0.000773203,0.000810707,0.000815787,0.00086762,0.000701992
6.97574,0.000726294,0.000786245,0.000794391,0.000904771,0.000772241,0.000813177,0.000814485,0.000871333,0.000704206
7.47574,0.000719897,0.000785133,0.000796883,0.000903259,0.00076897,0.000817449,0.000814349,0.000877193,0.000706719
7.97574,0.000714927,0.000788058,0.00080086,0.000903326,0.000763753,0.000819228,0.000814465,0.000882442,0.000709611
8.47574,0.000711442,0.000795029,0.000806759,0.000907048,0.000758309,0.000813394,0.000814818,0.000884879,0.00071277
8.97574,0.000708989,0.000802462,0.000813942,0.000912424,0.000754683,0.000801937,0.000815509,0.00088332,0.000716079
9.47574,0.000708756,0.000806,0.000820317,0.00091483,0.000754477,0.000791056,0.000816494,0.000878897,0.000719469
9.97574,0.000711321,0.000804109,0.00082363,0.000912665,0.000757164,0.000786854,0.000816372,0.000872947,0.000722527
10.4757,0.000715469,0.000797964,0.000821563,0.000906629,0.000760315,0.000790004,0.000812591,0.000867049,0.000726161
10.9757,0.00071896,0.000790591,0.000812616,0.000898599,0.000761943,0.00079447,0.000804348,0.000862848,0.000729806
11.4757,0.000720381,0.000784734,0.000797813,0.000891458,0.000761956,0.000797767,0.000792497,0.000861729,0.000734086
11.9757,0.000718288,0.000783435,0.000781932,0.000888481,0.000764341,0.000798096,0.000781761,0.000863915,0.000738842
12.4757,0.000713819,0.000787306,0.000770804,0.000889045,0.000771753,0.000796273,0.000774257,0.000867734,0.000742145
