Arc_length vs Data,025_01months_DTI_antsBM,028_01months_DTI_antsBM,031_01months_DTI_antsBM,032_02weeks_DTI_antsBM,033_01months_DTI_antsBM,034_02weeks_DTI_antsBM,035_02weeks_DTI_antsBM,036_02weeks_DTI_antsBM,Atlas
-27.3023,0.000948269,0.000989619,0.0010281,0.00101482,0.000928413,0.00091188,0.00100827,0.00100581,0.000860233
-26.8023,0.000902001,0.000935445,0.000964746,0.000986238,0.000888603,0.0008664,0.000953279,0.000957057,0.000823828
-26.3023,0.000858204,0.000882478,0.00090174,0.000955806,0.000846901,0.000825281,0.000896368,0.000915422,0.000791758
-25.8023,0.000811624,0.000827569,0.00083356,0.00092032,0.000801599,0.000783083,0.000832396,0.000874006,0.0007612
-25.3023,0.000776761,0.000786167,0.000778731,0.000888192,0.000763273,0.000751555,0.000780268,0.00084512,0.000742298
-24.8023,0.000780144,0.000785123,0.000767032,0.000898472,0.000756706,0.000765391,0.000792352,0.000834333,0.000743357
-24.3023,0.000803352,0.000804915,0.000782534,0.000936203,0.000776904,0.000801466,0.000845956,0.000836234,0.000756485
-23.8023,0.000824736,0.000822926,0.000802493,0.000975377,0.000804383,0.000835597,0.000895196,0.000845481,0.00076963
-23.3023,0.000824092,0.000817778,0.000796893,0.000978275,0.000810571,0.00083697,0.000903592,0.000848589,0.000769843
-22.8023,0.000809881,0.000805677,0.00077893,0.000959218,0.00080482,0.000817185,0.000886263,0.000850329,0.000760381
-22.3023,0.000795109,0.000797771,0.000765924,0.000937027,0.000798181,0.000793849,0.00086221,0.000855266,0.000747499
-21.8023,0.000783529,0.000792795,0.000760984,0.000914567,0.000789742,0.000771347,0.00083418,0.000861798,0.000732764
-21.3023,0.00077856,0.000791488,0.000764971,0.000897239,0.000779215,0.000757491,0.000806308,0.000867474,0.000717322
-20.8023,0.00077225,0.000785227,0.000763023,0.000878923,0.0007598,0.000746986,0.000774777,0.000863063,0.000698114
-20.3023,0.000754273,0.000769535,0.000741144,0.000852135,0.000729498,0.000731071,0.000734933,0.000842628,0.000673411
